title,address,access,age,floor,cost,management_fee,deposit,qratuity,layout,size,Area,district,sub_district,都道府県コード,都道府県名,lat,lon
リューズ・リバー月島,東京都中央区月島４,"
都営大江戸線/勝どき駅 歩6分
東京メトロ有楽町線/月島駅 歩8分
東京メトロ日比谷線/築地駅 歩22分
",26,4,17,10000円,17.1万円,17.1万円,2LDK,56,中央区,東京都中央区,月島,13,東京都,35.668796,139.786583
リューズ・リバー月島,東京都中央区月島４,"
都営大江戸線/勝どき駅 歩6分
東京メトロ有楽町線/月島駅 歩8分
東京メトロ日比谷線/築地駅 歩22分
",26,5,20,15000円,20.7万円,20.7万円,3DK,66,中央区,東京都中央区,月島,13,東京都,35.668796,139.786583
リューズ・リバー月島,東京都中央区月島４,"
都営大江戸線/勝どき駅 歩6分
東京メトロ有楽町線/月島駅 歩8分
東京メトロ日比谷線/築地駅 歩22分
",26,5,21,15000円,21万円,-,3LDK,66,中央区,東京都中央区,月島,13,東京都,35.668796,139.786583
リューズ・リバー月島,東京都中央区月島４,"
都営大江戸線/勝どき駅 歩6分
東京メトロ有楽町線/月島駅 歩8分
東京メトロ日比谷線/築地駅 歩22分
",26,3,21,15000円,21.4万円,21.4万円,3LDK,66,中央区,東京都中央区,月島,13,東京都,35.668796,139.786583
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,"
ＪＲ京葉線/八丁堀駅 歩5分
東京メトロ有楽町線/新富町駅 歩9分
東京メトロ日比谷線/築地駅 歩13分
",10,2,20,20000円,20.5万円,-,2DK,40,中央区,東京都中央区,湊,13,東京都,35.668796,139.786583
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,"
ＪＲ京葉線/八丁堀駅 歩5分
東京メトロ有楽町線/新富町駅 歩9分
東京メトロ日比谷線/築地駅 歩13分
",10,3,21,20000円,21.2万円,-,2DK,40,中央区,東京都中央区,湊,13,東京都,35.668796,139.786583
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,"
ＪＲ京葉線/八丁堀駅 歩5分
東京メトロ有楽町線/新富町駅 歩9分
東京メトロ日比谷線/築地駅 歩13分
",10,4,21,20000円,21.4万円,-,2DK,40,中央区,東京都中央区,湊,13,東京都,35.668796,139.786583
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,"
ＪＲ京葉線/八丁堀駅 歩5分
東京メトロ有楽町線/新富町駅 歩9分
東京メトロ日比谷線/築地駅 歩13分
",10,5,21,20000円,21.9万円,-,2DK,40,中央区,東京都中央区,湊,13,東京都,35.668796,139.786583
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,"
ＪＲ京葉線/八丁堀駅 歩5分
東京メトロ有楽町線/新富町駅 歩9分
東京メトロ日比谷線/築地駅 歩13分
",10,7,22,20000円,22.3万円,-,2DK,40,中央区,東京都中央区,湊,13,東京都,35.668796,139.786583
ザ・ライオンズフォーシア八丁堀,東京都中央区湊１,"
ＪＲ京葉線/八丁堀駅 歩5分
東京メトロ有楽町線/新富町駅 歩9分
東京メトロ日比谷線/築地駅 歩13分
",10,10,23,20000円,23万円,-,2DK,40,中央区,東京都中央区,湊,13,東京都,35.668796,139.786583
銀座レジデンス伍番館,東京都中央区湊２,"
東京メトロ有楽町線/新富町駅 歩6分
東京メトロ日比谷線/八丁堀駅 歩7分
都営大江戸線/月島駅 歩10分
",20,2,19,-,19.2万円,19.2万円,2DK,50,中央区,東京都中央区,湊,13,東京都,35.668796,139.786583
銀座レジデンス伍番館,東京都中央区湊２,"
東京メトロ有楽町線/新富町駅 歩6分
東京メトロ日比谷線/八丁堀駅 歩7分
都営大江戸線/月島駅 歩10分
",20,11,21,-,21万円,21万円,2DK,52,中央区,東京都中央区,湊,13,東京都,35.668796,139.786583
アヴァンティーク銀座２丁目参番館,東京都中央区銀座２,"
東京メトロ銀座線/銀座駅 歩6分
ＪＲ山手線/有楽町駅 歩9分
東京メトロ日比谷線/東銀座駅 歩3分
",19,9,20,10000円,20万円,20万円,2DK,42,中央区,東京都中央区,銀座,13,東京都,35.668796,139.786583
アヴァンティーク銀座２丁目参番館,東京都中央区銀座２,"
東京メトロ銀座線/銀座駅 歩6分
ＪＲ山手線/有楽町駅 歩9分
東京メトロ日比谷線/東銀座駅 歩3分
",19,3,20,12000円,20.8万円,20.8万円,2DK,52,中央区,東京都中央区,銀座,13,東京都,35.668796,139.786583
BLESS北新宿,東京都新宿区北新宿１,"
ＪＲ中央線/大久保駅 歩8分
東京メトロ丸ノ内線/西新宿駅 歩9分
ＪＲ山手線/新大久保駅 歩12分
",9,2,28,17000円,28.1万円,28.1万円,3LDK,71,新宿区,東京都新宿区,北新宿,13,東京都,35.69995,139.735037
BLESS北新宿,東京都新宿区北新宿１,"
ＪＲ中央線/大久保駅 歩8分
東京メトロ丸ノ内線/西新宿駅 歩9分
ＪＲ山手線/新大久保駅 歩12分
",9,2,29,17000円,29.6万円,29.6万円,3LDK,71,新宿区,東京都新宿区,北新宿,13,東京都,35.69995,139.735037
